StoreName,ExternalCategory,URL,special_tag,
Victoria Secret,Bras,https://www.victoriassecret.com/bras/shop-all-bras
Victoria Secret,Panties,https://www.victoriassecret.com/panties/shop-all-panties
Victoria Secret,Sleepwear,https://www.victoriassecret.com/sleepwear/shop-all-sleep
Victoria Secret,Beauty,https://www.victoriassecret.com/beauty/shop-all-beauty
Victoria Secret,Swim,https://www.victoriassecret.com/swimwear/shop-by-size
Victoria Secret,Sport,https://www.victoriassecret.com/victorias-secret-sport/shop-all
Victoria Secret,Yoga & Lounge,https://www.victoriassecret.com/clothing/all-yoga-lounge-c
Victoria Secret,Tops,https://www.victoriassecret.com/clothing/all-tops-c
Victoria Secret,Sweaters,https://www.victoriassecret.com/clothing/sweaters
Victoria Secret,Bottoms,https://www.victoriassecret.com/clothing/bottoms
Victoria Secret,Dresses,https://www.victoriassecret.com/clothing/dresses-c
Victoria Secret,Coats & Jackets,https://www.victoriassecret.com/clothing/jackets-and-coats
Victoria Secret,Shoes,https://www.victoriassecret.com/clothing/shoes
Victoria Secret,Accessories,https://www.victoriassecret.com/clothing/all-handbags-and-accessories-c
Victoria Secret,Hoisery,https://www.victoriassecret.com/clothing/hosiery-c
Victoria Secret,Bras,https://www.victoriassecret.com/sale/bras,sale
Victoria Secret,Panties,https://www.victoriassecret.com/sale/panties,sale
Victoria Secret,Sleep,https://www.victoriassecret.com/sale/sleepwear,sale
Victoria Secret,Beauty,https://www.victoriassecret.com/sale/beauty,sale
Victoria Secret,Swim,https://www.victoriassecret.com/sale/swim,sale
Victoria Secret,Sport,https://www.victoriassecret.com/sale/vsx-sport,sale
Victoria Secret,Clothing,https://www.victoriassecret.com/sale/clothing,sale
Victoria Secret,Shoes,https://www.victoriassecret.com/sale/shoes,sale